id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
325,Beverages,,,,
326,Cold Drinks,Beverages,Mexican,,
327,Fast Food,North Indian,South Indian,Beverages,Chinese
328,Beverages,Italian,Chinese,,
329,Chinese,Fast Food,Italian,,
330,South Indian,Cold Drinks,Mexican,North Indian,Korean
331,North Indian,Japanese,,,
332,Italian,Fast Food,North Indian,,
333,Beverages,Cold Drinks,Japanese,Fast Food,North Indian
334,Chinese,Mexican,North Indian,Japanese,South Indian
335,Japanese,Chinese,North Indian,Korean,South Indian
336,Japanese,South Indian,Mexican,Cold Drinks,Korean
337,Beverages,South Indian,Fast Food,Japanese,
338,Korean,,,,
339,Beverages,Japanese,Chinese,Mexican,
340,Korean,Fast Food,,,
341,Mexican,Chinese,Cold Drinks,Fast Food,Japanese
342,Beverages,Japanese,Mexican,,
343,Italian,Fast Food,Chinese,South Indian,Korean
344,Chinese,Cold Drinks,Beverages,,
345,South Indian,,,,
346,South Indian,Italian,Japanese,Fast Food,
347,South Indian,Japanese,Korean,,
348,South Indian,Beverages,Fast Food,Italian,
349,Japanese,Cold Drinks,Korean,Chinese,
350,Beverages,,,,
351,North Indian,Beverages,,,
352,Beverages,Cold Drinks,Italian,South Indian,
353,Mexican,Chinese,North Indian,Cold Drinks,Korean
354,Italian,Korean,Japanese,North Indian,Mexican
355,Mexican,South Indian,Korean,Fast Food,
356,Cold Drinks,South Indian,Beverages,Italian,
357,Italian,,,,
358,South Indian,Fast Food,Italian,Mexican,Japanese
359,Mexican,Fast Food,Japanese,Chinese,
360,Chinese,North Indian,Japanese,South Indian,
361,Cold Drinks,North Indian,Japanese,Italian,South Indian
362,Korean,South Indian,North Indian,,
363,Italian,Chinese,Mexican,Korean,Cold Drinks
364,Korean,Mexican,South Indian,Beverages,
365,Fast Food,Beverages,,,
366,Italian,Chinese,,,
367,Mexican,Chinese,Cold Drinks,Japanese,
368,Japanese,Italian,Cold Drinks,Beverages,
369,Fast Food,Beverages,Japanese,Chinese,Cold Drinks
370,South Indian,North Indian,,,
371,Japanese,South Indian,Beverages,,
372,Chinese,Japanese,Korean,,
373,Korean,,,,
374,Mexican,Chinese,Japanese,South Indian,
375,Mexican,Cold Drinks,Korean,Chinese,South Indian
376,Japanese,Italian,,,
377,Cold Drinks,Korean,North Indian,Beverages,
378,Fast Food,Italian,Japanese,,
379,Chinese,,,,
380,Cold Drinks,Japanese,Italian,,
381,Japanese,Mexican,Italian,Fast Food,Chinese
382,Korean,Mexican,,,
383,South Indian,Korean,,,
384,Cold Drinks,Beverages,Fast Food,,
385,Chinese,Korean,Fast Food,Japanese,
386,Cold Drinks,Mexican,Fast Food,,
387,Beverages,,,,
388,Cold Drinks,Mexican,Japanese,,
389,Mexican,North Indian,,,
390,Fast Food,,,,
391,Korean,Cold Drinks,Japanese,Italian,
392,North Indian,Beverages,Italian,Japanese,South Indian
393,North Indian,Chinese,South Indian,Beverages,
394,Chinese,Cold Drinks,Japanese,,
395,Mexican,Chinese,South Indian,Fast Food,Beverages
396,South Indian,Cold Drinks,,,
397,South Indian,Mexican,Italian,,
398,Chinese,Korean,Japanese,,
399,Fast Food,Beverages,South Indian,Italian,
400,Fast Food,North Indian,,,
401,Cold Drinks,Chinese,Korean,,
402,Cold Drinks,Chinese,Fast Food,Italian,North Indian
403,North Indian,,,,
404,Cold Drinks,Japanese,Fast Food,Mexican,South Indian
405,North Indian,,,,
406,Fast Food,,,,
407,Cold Drinks,Italian,Mexican,,
408,Cold Drinks,North Indian,,,
409,Fast Food,,,,
410,Japanese,North Indian,Cold Drinks,Italian,
411,Italian,South Indian,,,
412,North Indian,Fast Food,South Indian,,
413,Fast Food,Mexican,,,
414,Fast Food,Cold Drinks,Korean,Beverages,Japanese
415,Fast Food,Mexican,,,
416,Beverages,Chinese,,,
417,Chinese,South Indian,,,
418,Cold Drinks,Japanese,Italian,Mexican,Fast Food
419,Japanese,,,,
420,Japanese,North Indian,Italian,South Indian,
421,Cold Drinks,Fast Food,,,
422,Korean,Beverages,Italian,Japanese,North Indian
423,Beverages,South Indian,Korean,,
424,Chinese,Fast Food,Korean,Japanese,South Indian
425,Italian,Chinese,Korean,,
426,Beverages,Cold Drinks,Fast Food,Chinese,Mexican
427,South Indian,Mexican,Korean,North Indian,
428,Mexican,South Indian,Chinese,Beverages,Italian
429,Beverages,Chinese,,,
430,Japanese,,,,
431,Korean,Cold Drinks,,,
432,Chinese,Mexican,Cold Drinks,,
433,Chinese,North Indian,South Indian,,
434,Japanese,South Indian,Italian,Korean,
435,Chinese,Beverages,Fast Food,,
436,Mexican,,,,
437,Beverages,,,,
438,Italian,,,,
439,Chinese,Cold Drinks,Korean,,
440,Mexican,Beverages,Italian,,
441,Cold Drinks,Beverages,Mexican,,
442,Mexican,South Indian,,,
443,Beverages,Italian,Korean,,
444,Korean,Beverages,,,
445,Beverages,,,,
446,Beverages,,,,
447,Chinese,North Indian,Mexican,,
448,Mexican,Beverages,,,
449,Japanese,,,,
450,South Indian,Italian,Korean,North Indian,Mexican
451,Italian,North Indian,,,
452,South Indian,Fast Food,,,
453,Mexican,Korean,,,
454,Chinese,Japanese,Italian,Beverages,
455,Mexican,Korean,Chinese,Cold Drinks,
456,Korean,South Indian,Cold Drinks,,
457,Cold Drinks,Italian,South Indian,Japanese,North Indian
458,South Indian,Cold Drinks,Fast Food,Japanese,Beverages
459,Cold Drinks,,,,
460,Korean,Chinese,,,
461,Fast Food,South Indian,Mexican,Beverages,Italian
462,North Indian,Japanese,,,
463,Korean,North Indian,,,
464,Mexican,Beverages,Chinese,Fast Food,
465,North Indian,,,,
466,South Indian,,,,
467,South Indian,Beverages,Mexican,,
468,Chinese,,,,
469,Fast Food,Chinese,Mexican,,
470,Cold Drinks,Chinese,Fast Food,Japanese,
471,Beverages,North Indian,Italian,Cold Drinks,Fast Food
472,Cold Drinks,Mexican,Chinese,Italian,
473,South Indian,Italian,North Indian,,
474,North Indian,Cold Drinks,Mexican,,
475,Mexican,Italian,South Indian,,
476,Japanese,Cold Drinks,Italian,Korean,North Indian
477,South Indian,Fast Food,Korean,Japanese,Chinese
478,Chinese,,,,
479,Korean,Fast Food,,,
480,South Indian,Fast Food,,,
481,Japanese,,,,
482,Chinese,Italian,,,
483,Beverages,Mexican,Fast Food,Chinese,North Indian
484,Cold Drinks,,,,
485,Korean,Italian,Fast Food,Beverages,
486,Fast Food,South Indian,North Indian,,
487,Fast Food,Cold Drinks,Japanese,Chinese,
488,South Indian,Chinese,North Indian,,
489,Japanese,Mexican,North Indian,,
490,Mexican,Korean,Chinese,,
491,Chinese,South Indian,North Indian,Beverages,Italian
492,South Indian,Mexican,Italian,Chinese,North Indian
493,Fast Food,,,,
494,South Indian,Japanese,Cold Drinks,Chinese,Fast Food
495,Fast Food,Cold Drinks,Japanese,Italian,Korean
496,Chinese,Cold Drinks,,,
497,Cold Drinks,Japanese,South Indian,North Indian,Italian
498,Mexican,Fast Food,South Indian,Beverages,
499,Fast Food,North Indian,,,
500,Cold Drinks,Italian,Fast Food,Mexican,
501,Japanese,Italian,Cold Drinks,,
502,North Indian,Japanese,,,
503,Japanese,Korean,Fast Food,North Indian,Cold Drinks
504,South Indian,Japanese,Italian,Korean,
505,North Indian,Mexican,Korean,Beverages,South Indian
506,Japanese,Italian,Korean,,
507,Mexican,North Indian,Italian,Fast Food,
508,Beverages,North Indian,Japanese,Fast Food,Mexican
509,Mexican,Korean,Fast Food,Beverages,North Indian
510,Italian,Cold Drinks,Japanese,Chinese,
511,South Indian,Cold Drinks,North Indian,Korean,
512,South Indian,,,,
513,Fast Food,,,,
514,South Indian,Mexican,North Indian,Beverages,
515,Chinese,,,,
516,Chinese,Mexican,Cold Drinks,,
517,South Indian,,,,
518,Italian,,,,
519,North Indian,Fast Food,Cold Drinks,,
520,Beverages,Korean,Chinese,,
521,Chinese,Korean,Mexican,Beverages,
522,Fast Food,South Indian,,,
523,Cold Drinks,,,,
524,Korean,,,,
525,South Indian,Beverages,,,
526,Mexican,,,,
527,Korean,Cold Drinks,South Indian,,
528,Japanese,,,,
529,Cold Drinks,Chinese,Mexican,,
530,Mexican,North Indian,,,
531,Beverages,Fast Food,,,
532,Italian,North Indian,South Indian,Fast Food,
533,South Indian,Beverages,Italian,Chinese,
534,North Indian,South Indian,Japanese,,
535,Japanese,Fast Food,Cold Drinks,,
536,Italian,Cold Drinks,,,
537,North Indian,Korean,Beverages,Chinese,South Indian
538,Korean,Japanese,,,
539,North Indian,Mexican,Italian,Fast Food,
540,Mexican,Cold Drinks,,,
541,Chinese,Fast Food,,,
542,South Indian,,,,
543,Fast Food,North Indian,,,
544,Japanese,Italian,Beverages,Chinese,Mexican
545,Cold Drinks,Korean,,,
546,Japanese,North Indian,Beverages,,
547,Japanese,Fast Food,North Indian,Cold Drinks,
548,North Indian,Fast Food,,,
549,Chinese,Italian,North Indian,Fast Food,
550,South Indian,Korean,Mexican,Beverages,
551,Japanese,Beverages,,,
552,Chinese,,,,
553,Fast Food,North Indian,,,
554,Fast Food,,,,
555,Beverages,,,,
556,Fast Food,Japanese,North Indian,Korean,Italian
557,Italian,Mexican,,,
558,Fast Food,Korean,South Indian,Cold Drinks,Chinese
559,North Indian,Korean,,,
560,Beverages,Korean,South Indian,,
561,Cold Drinks,Mexican,,,
562,Japanese,Korean,Fast Food,North Indian,Italian
563,South Indian,,,,
564,Chinese,,,,
565,Korean,,,,
566,Beverages,Mexican,Chinese,Fast Food,Italian
567,North Indian,Mexican,Italian,South Indian,
568,Chinese,Japanese,Italian,Mexican,Fast Food
569,Japanese,Italian,Mexican,South Indian,
570,Cold Drinks,,,,
571,Japanese,Mexican,Fast Food,Chinese,
572,Italian,Japanese,,,
573,Cold Drinks,Fast Food,Chinese,Mexican,Beverages
574,South Indian,Korean,Mexican,Japanese,
575,Beverages,North Indian,Cold Drinks,Mexican,
576,Fast Food,,,,
577,Mexican,Beverages,North Indian,Italian,
578,North Indian,South Indian,,,
579,Chinese,Beverages,Fast Food,South Indian,
580,North Indian,Japanese,Fast Food,Mexican,
581,Japanese,,,,
582,Chinese,Italian,North Indian,,
583,South Indian,Italian,Chinese,Cold Drinks,North Indian
584,North Indian,,,,
585,Fast Food,,,,
586,Beverages,Mexican,Chinese,,
587,Chinese,Japanese,North Indian,Cold Drinks,Italian
588,Japanese,South Indian,,,
589,North Indian,,,,
590,Chinese,South Indian,Beverages,,
591,South Indian,Korean,Cold Drinks,,
592,Mexican,South Indian,Italian,Fast Food,Beverages
593,Beverages,Japanese,South Indian,North Indian,Fast Food
594,Korean,Japanese,North Indian,South Indian,
595,South Indian,Cold Drinks,Mexican,Italian,North Indian
596,Chinese,,,,
597,Cold Drinks,Korean,Fast Food,Italian,
598,Fast Food,Mexican,Italian,South Indian,North Indian
599,South Indian,Chinese,Korean,Cold Drinks,
600,Beverages,Fast Food,South Indian,,
601,Japanese,Cold Drinks,Fast Food,North Indian,South Indian
602,Beverages,South Indian,Cold Drinks,,
603,Korean,Italian,Mexican,North Indian,Japanese
604,Japanese,Mexican,North Indian,Chinese,
605,North Indian,Chinese,South Indian,Beverages,
606,Beverages,,,,
607,Beverages,South Indian,Korean,North Indian,
608,Japanese,Mexican,South Indian,Cold Drinks,
609,Cold Drinks,Italian,Japanese,,
610,Beverages,,,,
611,Italian,Japanese,Cold Drinks,Fast Food,
612,South Indian,Mexican,Chinese,Italian,Korean
613,Italian,Japanese,Cold Drinks,South Indian,Mexican
614,Cold Drinks,South Indian,Japanese,,
615,Fast Food,North Indian,,,
616,Japanese,Beverages,Korean,Mexican,
617,Chinese,Fast Food,,,
618,Cold Drinks,,,,
619,Japanese,Cold Drinks,North Indian,Italian,Fast Food
620,North Indian,Chinese,Fast Food,,
621,Mexican,Korean,Japanese,,
622,South Indian,Japanese,Korean,Beverages,Chinese
623,Mexican,South Indian,North Indian,Chinese,Japanese
624,Fast Food,Italian,Mexican,Japanese,Beverages
625,Japanese,Cold Drinks,Beverages,South Indian,Italian
626,Cold Drinks,Italian,,,
627,Italian,Korean,Beverages,,
628,Mexican,Japanese,,,
629,Fast Food,,,,
630,Beverages,Chinese,Cold Drinks,North Indian,Fast Food
631,Italian,South Indian,,,
632,Beverages,Italian,,,
633,Mexican,Cold Drinks,Beverages,Japanese,North Indian
634,Cold Drinks,,,,
635,Chinese,Fast Food,Italian,,
636,North Indian,Japanese,Fast Food,Beverages,
637,Japanese,Fast Food,Cold Drinks,Beverages,Chinese
638,Mexican,,,,
639,Italian,Mexican,Chinese,,
640,Mexican,,,,
641,Fast Food,Korean,Italian,,
642,North Indian,Fast Food,Chinese,Cold Drinks,Japanese
643,Mexican,Japanese,Beverages,Italian,Cold Drinks
644,Fast Food,Italian,Mexican,Cold Drinks,Japanese
645,Mexican,,,,
646,Korean,,,,
647,Japanese,Cold Drinks,Fast Food,Italian,Mexican
648,Mexican,Chinese,Fast Food,Cold Drinks,Korean
649,North Indian,Japanese,Beverages,,
650,Japanese,Beverages,Fast Food,,
651,Chinese,Mexican,Beverages,Cold Drinks,Italian
652,Italian,,,,
653,Korean,South Indian,Japanese,North Indian,Cold Drinks
654,Korean,Beverages,,,
655,Chinese,Japanese,Korean,,
656,Cold Drinks,North Indian,Mexican,Italian,Chinese
657,Beverages,Korean,Italian,Fast Food,Cold Drinks
658,Fast Food,North Indian,,,
659,Mexican,North Indian,,,
660,Chinese,Korean,Mexican,Cold Drinks,Japanese
661,Chinese,Fast Food,Mexican,Beverages,South Indian
662,Mexican,,,,
663,South Indian,Fast Food,Japanese,Italian,
664,North Indian,Mexican,,,
665,Beverages,North Indian,Japanese,Cold Drinks,Chinese
666,South Indian,Italian,Japanese,Fast Food,Chinese
667,Beverages,South Indian,Fast Food,Mexican,
668,South Indian,Chinese,Korean,Beverages,
669,Fast Food,Japanese,,,
670,Fast Food,,,,
671,Fast Food,Japanese,,,
672,Italian,,,,
673,Mexican,Beverages,Cold Drinks,South Indian,
674,South Indian,,,,
675,Cold Drinks,Italian,Chinese,,
676,Mexican,Italian,Korean,,
677,Cold Drinks,Fast Food,Mexican,,
678,North Indian,Italian,Japanese,Fast Food,Chinese
679,Cold Drinks,Beverages,Japanese,Mexican,Italian
680,Mexican,Beverages,North Indian,Chinese,Korean
681,Mexican,South Indian,,,
682,Japanese,South Indian,Mexican,,
683,North Indian,Mexican,,,
684,Japanese,Chinese,Fast Food,Italian,North Indian
685,Chinese,Italian,Beverages,North Indian,
686,Chinese,North Indian,Italian,Japanese,Korean
687,Italian,Japanese,Beverages,,
688,Italian,Korean,South Indian,Cold Drinks,Fast Food
689,Mexican,Japanese,Italian,,
690,Beverages,Italian,,,
691,Chinese,Mexican,Fast Food,,
692,Mexican,South Indian,Beverages,Japanese,North Indian
693,Fast Food,,,,
694,Chinese,Fast Food,Korean,Japanese,Cold Drinks
695,North Indian,Korean,Fast Food,,
696,South Indian,Chinese,,,
697,Korean,Japanese,Fast Food,North Indian,Cold Drinks
